,Goals,Shots,G/Sh,Assists,PasCmp,Touches,DriPast,CarTotDist,Crs,GCA,TklWon,Press,Clr,Int,Blocks,Fls,AerWon
1270,0.0,0.27,0.0,0.0,49.1,63.5,0.13,208.1,0.33,0.2,1.2,18.3,0.93,1.27,1.67,1.33,0.8
1278,0.4,1.2,0.12,0.18,24.7,44.7,0.73,133.2,1.78,0.29,0.69,17.3,1.27,0.65,1.09,1.13,0.73
1282,0.15,1.32,0.11,0.03,30.4,51.3,0.26,117.5,0.38,0.12,1.21,14.2,3.5,1.62,1.44,1.44,4.12
1285,0.0,0.49,0.0,0.08,36.8,56.7,0.82,158.9,0.41,0.16,1.07,20.5,1.56,1.39,1.07,1.64,2.38
1287,0.07,0.6,0.13,0.11,38.9,56.2,0.52,174.1,0.22,0.26,1.27,20.4,1.01,2.61,1.83,1.72,1.12
1291,0.05,2.37,0.02,0.29,34.1,62.2,1.21,184.1,1.16,0.48,1.35,19.6,1.45,3.48,1.69,1.79,3.14
1293,0.08,1.76,0.05,0.08,25.8,49.1,1.85,195.5,1.85,0.17,0.59,16.9,0.59,1.51,1.01,1.51,0.08
1297,0.11,0.8,0.13,0.05,42.3,60.1,0.74,135.0,0.37,0.21,1.22,18.7,0.85,1.6,1.65,1.7,1.7
1301,0.0,0.14,0.0,0.0,41.3,59.6,0.28,162.3,0.14,0.0,1.13,17.5,2.68,2.11,1.97,1.97,0.56
1304,0.22,0.97,0.22,0.22,41.3,60.8,0.32,156.3,1.08,0.43,1.29,18.2,1.4,0.86,1.08,0.75,0.97
1305,0.0,0.46,0.0,0.0,19.3,42.3,0.15,78.7,1.22,0.0,1.89,21.7,1.68,1.12,1.94,2.91,2.76
1307,0.13,0.67,0.19,0.16,52.1,73.9,1.28,295.6,1.47,0.38,1.21,20.9,0.45,0.67,1.25,1.76,0.58
1314,0.11,1.37,0.08,0.11,27.6,48.3,1.05,142.3,1.19,0.21,0.88,16.4,0.98,1.12,1.82,1.4,0.88
1319,0.21,1.82,0.12,0.13,46.7,65.0,1.14,276.6,0.72,0.42,0.97,13.6,0.42,0.93,1.1,1.27,0.34
1321,0.0,0.76,0.0,0.0,44.1,67.3,0.32,183.9,0.13,0.0,2.68,20.8,2.29,2.29,2.29,2.23,2.42
1323,0.14,0.68,0.0,0.07,57.7,78.9,0.58,218.7,0.99,0.07,1.3,17.0,1.47,1.88,1.61,0.79,1.23
1329,0.09,1.72,0.05,0.06,55.3,75.9,1.05,278.3,0.74,0.34,2.06,18.3,1.35,3.51,1.08,1.66,2.65
