,Pos,Goals,Shots,G/Sh,Assists,PasCmp,Touches,DriPast,CarTotDist,Crs,GCA,TklWon,Press,Clr,Int,Blocks,Fls,AerWon
565,MF,0.0,0.78,0.0,0.06,27.2,49.4,1.17,136.4,1.95,0.19,1.17,24.0,1.56,1.69,1.95,2.21,1.23
566,MF,0.28,1.94,0.15,0.63,39.8,62.9,0.53,149.4,2.71,0.99,0.88,16.7,0.56,0.81,1.34,0.56,1.58
567,MF,0.13,1.23,0.08,0.32,40.3,61.9,2.17,229.0,2.59,0.68,0.68,11.1,0.23,0.71,0.91,0.49,0.19
568,MF,0.0,0.51,0.0,0.0,31.6,47.1,0.22,121.4,0.15,0.07,1.02,17.2,1.75,1.97,1.68,1.68,1.17
569,MF,0.0,0.0,0.0,0.0,31.9,47.6,0.7,120.3,0.1,0.0,1.9,20.9,1.6,2.3,1.6,2.2,1.1
570,MF,0.08,1.32,0.06,0.0,23.9,45.8,1.05,114.0,0.12,0.0,1.25,21.8,3.27,1.6,1.63,2.45,4.01
571,MF,0.19,1.67,0.11,0.19,42.2,65.2,2.41,238.7,0.37,0.19,1.85,16.3,0.56,0.56,0.37,0.93,0.37
572,MF,0.0,0.64,0.0,0.26,59.2,79.0,1.79,312.4,0.51,0.26,2.44,21.0,0.9,1.15,0.9,2.05,0.9
573,MF,0.17,2.03,0.08,0.17,38.0,61.1,1.14,180.0,0.38,0.25,1.69,15.7,0.89,1.99,2.16,0.97,0.55
574,MF,0.14,1.42,0.1,0.07,53.8,75.5,1.05,214.0,0.71,0.1,1.45,18.3,1.82,1.86,1.45,1.11,0.88
575,MF,0.0,0.58,0.0,0.0,40.3,58.9,0.58,174.6,0.1,0.0,1.54,15.0,1.25,2.4,1.63,1.63,0.58
576,MF,0.27,0.0,0.0,0.0,67.3,82.4,0.27,220.8,0.0,0.0,1.89,14.3,0.81,1.35,1.08,1.35,0.27
577,MF,0.13,1.3,0.1,0.0,28.6,47.4,0.71,121.0,0.71,0.0,1.17,16.7,0.32,0.78,2.53,1.49,0.65
578,MF,0.05,1.42,0.04,0.11,29.3,54.2,1.09,164.0,0.82,0.16,1.31,17.7,2.35,1.37,1.42,2.68,1.75
579,MF,0.09,0.8,0.11,0.12,38.9,60.6,0.41,124.9,0.41,0.18,2.36,20.4,1.68,2.51,1.74,2.15,1.8
580,MF,0.2,1.11,0.09,0.0,40.9,61.6,0.61,152.4,0.81,0.4,2.12,24.9,1.11,1.31,1.52,1.41,0.71
581,MF,0.36,2.65,0.14,0.36,33.9,57.3,3.37,200.5,0.72,0.72,0.96,21.6,0.12,1.33,0.84,0.6,1.08
582,MF,0.07,0.99,0.07,0.0,36.6,54.8,0.86,172.6,0.13,0.07,2.19,16.8,1.59,2.25,0.86,2.25,1.66
583,MF,0.15,1.03,0.14,0.1,43.5,67.9,1.42,210.8,0.49,0.25,2.79,24.8,1.13,2.99,2.21,1.91,2.5
584,MF,0.0,1.38,0.0,0.0,22.5,40.4,0.86,142.4,0.6,0.09,1.38,21.8,1.12,1.29,1.72,3.71,1.29
585,MF,0.0,0.6,0.0,0.15,24.9,41.5,0.9,114.9,0.6,0.3,1.64,21.2,0.45,2.24,1.34,0.9,1.94
586,MF,0.0,0.94,0.0,0.0,49.6,64.4,0.47,192.0,0.24,0.08,2.44,23.1,1.26,1.34,0.94,1.97,0.55
587,MF,0.11,1.49,0.07,0.06,44.2,64.2,2.04,254.4,0.83,0.22,1.38,21.3,0.77,1.99,1.16,1.33,0.66
588,MF,0.08,1.05,0.07,0.0,44.2,65.4,0.89,200.1,1.05,0.16,1.75,19.4,1.75,2.84,1.83,1.63,2.61
589,MF,0.0,1.09,0.0,0.0,20.3,42.7,1.25,126.9,1.25,0.0,1.41,27.5,2.34,1.09,1.25,2.66,1.41
590,MF,0.04,0.54,0.07,0.0,35.5,53.0,0.62,164.2,0.27,0.0,1.91,21.4,1.48,2.57,1.67,2.53,1.13
591,MF,0.16,0.74,0.22,0.16,57.0,77.3,0.66,216.6,0.41,0.41,2.13,19.7,0.9,3.85,1.07,1.15,0.49
592,MF,0.11,0.86,0.13,0.22,96.1,107.2,0.43,341.2,0.0,0.43,2.04,12.0,0.22,1.72,1.08,1.08,0.32
593,MF,0.07,0.53,0.06,0.33,60.3,78.9,0.7,203.5,1.4,0.5,1.1,16.2,0.67,1.1,1.63,0.8,0.8
594,MF,0.09,1.96,0.05,0.04,45.2,63.3,1.33,213.4,0.13,0.13,1.82,12.9,1.42,1.47,1.24,1.78,1.02
595,MF,0.31,1.22,0.25,0.1,53.2,74.2,1.43,286.4,0.51,0.61,1.22,22.0,0.41,1.12,2.04,0.2,0.41
596,MF,0.0,1.98,0.0,0.12,30.9,58.6,3.84,233.1,4.07,0.23,1.28,18.5,0.58,2.09,1.28,1.16,0.12
597,MF,0.22,0.84,0.26,0.0,65.3,77.4,0.4,242.8,0.0,0.0,1.06,11.5,1.15,1.9,1.11,0.97,1.33
598,MF,0.0,0.77,0.0,0.15,28.0,47.8,0.62,123.8,0.15,0.15,2.62,18.0,1.69,0.77,1.38,1.85,2.0
599,MF,0.26,1.05,0.25,0.0,25.8,45.5,0.26,118.4,3.42,0.0,0.0,8.95,1.05,0.79,0.79,0.0,0.26
600,MF,0.0,0.78,0.0,0.1,26.8,43.9,0.69,129.2,0.29,0.29,1.57,16.6,1.27,1.18,1.27,1.18,1.86
601,MF,0.0,0.85,0.0,0.06,43.4,66.2,0.56,179.5,0.4,0.23,2.43,28.5,1.69,1.92,2.37,2.43,1.3
602,MF,0.0,0.31,0.0,0.0,29.3,45.3,0.31,93.9,0.19,0.0,1.56,18.9,1.63,1.44,1.38,3.0,2.13
603,MF,0.16,1.97,0.08,0.08,38.0,59.4,0.52,179.3,0.52,0.2,1.33,19.4,1.65,1.45,1.81,3.33,3.57
604,MF,0.07,1.05,0.06,0.0,18.5,34.9,0.53,98.0,0.26,0.0,1.18,23.9,0.66,0.53,1.38,1.84,1.51
605,MF,0.04,1.89,0.02,0.0,49.3,67.4,0.37,194.2,0.74,0.16,1.44,12.6,0.99,2.22,0.86,1.23,0.66
606,MF,0.0,0.72,0.0,0.04,22.2,37.6,0.68,108.5,0.08,0.13,1.65,20.2,1.69,2.37,1.1,1.86,1.44
607,MF,0.3,1.38,0.22,0.04,26.5,46.5,0.59,135.5,0.26,0.19,1.12,17.0,0.71,1.64,1.52,1.75,1.64
608,MF,0.19,1.67,0.11,0.0,77.8,94.1,1.11,322.2,0.19,0.56,0.56,16.5,0.0,0.93,0.19,1.67,0.0
609,MF,0.0,0.79,0.0,0.26,55.0,70.0,0.79,226.1,0.26,0.53,0.53,13.2,1.32,1.58,1.05,1.32,1.58
610,MF,0.0,1.02,0.0,0.08,33.9,53.0,1.02,232.7,0.79,0.12,2.13,22.7,1.14,1.26,2.09,1.89,2.13
611,MF,0.0,1.19,0.0,0.0,28.4,49.2,0.82,129.3,0.45,0.0,1.87,24.0,2.16,1.49,1.87,2.61,2.54
612,MF,0.0,0.37,0.0,0.0,29.9,45.1,0.59,125.1,0.3,0.07,1.04,15.4,1.56,1.26,1.93,1.78,1.56
613,MF,0.17,1.2,0.1,0.25,57.7,78.3,0.37,194.6,1.24,0.41,1.12,15.0,1.45,1.07,1.94,1.74,1.49
614,MF,0.22,1.24,0.18,0.04,32.8,50.7,0.99,240.1,0.58,0.11,1.5,20.0,0.99,1.39,1.5,1.5,0.8
615,MF,0.0,0.76,0.0,0.15,31.8,51.7,1.21,238.8,0.0,0.15,1.36,21.2,0.45,1.36,1.52,1.06,0.0
616,MF,0.0,1.21,0.0,0.0,19.1,40.6,0.71,112.7,1.03,0.14,0.67,15.8,0.6,1.35,1.88,1.35,0.89
617,MF,0.41,2.24,0.18,0.2,41.8,68.4,2.04,206.1,1.22,0.2,0.82,19.6,0.61,0.2,1.22,1.43,0.82
618,MF,0.06,0.47,0.13,0.06,48.2,64.5,0.71,261.9,0.12,0.12,1.76,19.8,0.94,2.82,1.47,1.06,0.35
619,MF,0.0,0.5,0.0,0.0,43.5,56.5,0.63,230.4,0.25,0.13,0.63,14.4,1.5,2.25,1.38,1.75,0.13
620,MF,0.03,0.74,0.04,0.11,55.2,71.0,1.16,364.0,1.05,0.23,1.5,13.5,1.5,2.69,1.7,0.99,1.36
621,MF,0.0,0.15,0.0,0.0,38.5,54.9,0.77,156.5,0.23,0.08,1.46,16.8,1.08,1.38,1.38,2.15,1.23
622,MF,0.0,1.19,0.0,0.0,61.0,81.4,0.71,201.2,0.24,0.24,1.67,25.2,0.48,1.9,1.67,3.81,0.24
623,MF,0.12,0.71,0.17,0.0,41.0,60.7,0.24,146.8,0.36,0.12,1.19,21.5,1.07,1.79,1.9,1.55,1.31
624,MF,0.22,1.41,0.16,0.06,80.8,96.8,0.31,287.9,0.25,0.09,1.44,15.0,1.69,1.25,1.5,1.56,2.84
625,MF,0.04,0.75,0.05,0.07,44.2,62.5,0.75,150.5,0.11,0.14,2.03,22.6,2.06,1.78,2.17,2.06,1.17
626,MF,0.0,2.0,0.0,0.29,34.9,55.4,1.43,174.3,0.29,0.57,0.29,18.6,1.14,0.57,0.57,3.14,2.86
627,MF,0.06,0.78,0.08,0.06,43.5,62.2,0.75,191.3,0.22,0.12,1.68,17.6,1.62,2.09,1.4,1.71,2.27
628,MF,0.0,0.59,0.0,0.07,50.4,66.6,0.59,176.9,0.46,0.17,1.42,16.1,1.58,1.62,1.29,1.45,1.55
629,MF,0.0,1.04,0.0,0.18,46.7,69.9,1.23,245.0,1.78,0.37,1.66,23.6,1.29,2.02,1.66,1.72,0.49
630,MF,0.35,1.63,0.21,0.12,35.9,59.0,0.23,144.2,1.05,0.35,1.51,19.3,2.33,1.28,0.81,1.63,1.16
631,MF,0.26,1.51,0.18,0.15,74.4,92.2,0.49,289.1,0.57,0.38,1.55,17.3,1.09,1.62,1.47,0.79,0.53
632,MF,0.0,1.41,0.0,0.0,38.5,58.2,1.53,200.2,0.47,0.0,0.94,20.2,0.47,2.0,0.94,1.29,0.71
633,MF,0.0,0.78,0.0,0.0,36.3,52.0,1.72,193.8,0.78,0.0,1.25,22.5,0.63,1.41,1.09,1.09,1.72
634,MF,0.1,0.41,0.25,0.0,41.4,57.0,0.51,144.9,0.71,0.0,1.63,23.7,0.82,2.24,1.12,1.63,0.71
635,MF,0.37,3.15,0.12,0.37,38.9,63.0,2.78,205.2,2.04,0.93,2.96,31.5,0.37,0.74,1.3,2.41,1.11
636,MF,0.11,0.82,0.13,0.0,32.0,51.8,0.54,115.7,0.16,0.16,1.9,18.7,2.17,1.96,2.12,1.96,1.96
637,MF,0.0,1.59,0.0,0.0,57.1,73.8,0.32,306.4,0.24,0.0,1.03,11.0,1.43,1.83,1.43,1.35,1.67
638,MF,0.0,0.0,0.0,0.0,31.3,44.0,0.11,80.1,0.0,0.33,1.3,23.8,1.3,0.87,0.43,3.59,1.63
639,MF,0.11,1.2,0.09,0.27,54.4,76.4,1.91,329.2,2.08,0.49,0.87,15.4,0.71,0.98,0.71,1.69,0.66
640,MF,0.12,1.07,0.11,0.0,27.0,45.2,0.24,82.5,0.95,0.12,1.19,19.5,1.19,0.24,1.07,2.5,2.98
641,MF,0.0,0.25,0.0,0.0,30.3,54.8,1.5,266.0,1.5,0.0,2.0,33.8,0.5,2.75,3.75,1.5,0.5
642,MF,0.3,2.91,0.06,0.26,40.1,76.0,3.17,235.0,3.73,0.56,1.46,18.2,0.3,1.87,1.19,1.87,0.71
643,MF,0.16,0.32,0.5,0.0,32.2,48.7,0.16,128.9,0.95,0.0,1.11,21.6,2.22,1.9,2.54,1.9,0.79
644,MF,0.0,0.95,0.0,0.09,30.1,50.6,1.03,172.0,0.69,0.17,2.67,26.8,1.55,1.55,2.33,2.07,1.38
645,MF,0.0,0.28,0.0,0.14,47.6,65.6,1.39,170.4,0.14,0.28,1.53,19.3,1.53,3.06,1.67,2.08,1.53
646,MF,0.04,1.32,0.03,0.0,30.8,52.1,1.2,171.8,1.02,0.15,0.9,20.0,0.86,1.58,1.47,1.35,1.2
647,MF,0.06,0.39,0.17,0.06,43.5,62.8,1.74,161.8,0.06,0.26,1.16,16.2,1.94,2.65,2.06,1.29,1.94
648,MF,0.0,0.47,0.0,0.13,36.5,57.8,0.81,182.5,0.98,0.26,1.37,17.3,1.2,1.71,1.71,2.14,1.71
649,MF,0.12,1.19,0.1,0.0,37.7,57.4,1.31,249.3,0.48,0.24,1.55,21.2,0.24,1.07,0.83,2.62,0.71
650,MF,0.29,2.57,0.11,0.0,25.4,53.7,1.43,218.6,2.0,0.0,2.0,28.0,0.29,1.71,2.86,2.29,0.29
651,MF,0.3,1.32,0.05,0.18,47.8,66.6,0.42,212.9,0.9,0.3,0.84,10.7,0.84,1.26,1.32,1.26,0.36
652,MF,0.09,1.32,0.07,0.05,33.3,49.9,0.5,129.5,0.59,0.09,0.64,13.0,1.5,1.59,1.27,0.91,0.59
653,MF,0.0,0.67,0.0,0.08,42.8,62.3,0.75,154.0,0.33,0.08,1.75,19.5,1.75,2.67,1.75,1.5,1.33
654,MF,0.1,1.1,0.1,0.21,47.8,64.6,1.31,253.6,1.26,0.58,1.47,16.6,0.58,0.73,1.05,1.47,0.58
655,MF,0.0,0.63,0.0,0.0,38.5,58.5,1.04,190.8,0.83,0.0,2.5,32.5,0.0,2.08,1.67,1.88,0.0
656,MF,0.06,0.7,0.08,0.03,26.4,42.8,1.31,142.0,0.67,0.11,1.12,14.1,2.01,1.23,1.48,1.26,2.37
657,MF,0.2,1.14,0.17,0.05,39.3,59.0,0.59,149.8,0.35,0.0,1.83,18.8,2.18,2.23,2.57,1.04,2.33
658,MF,0.0,0.27,0.0,0.0,49.1,63.5,0.13,208.1,0.33,0.2,1.2,18.3,0.93,1.27,1.67,1.33,0.8
659,MF,0.4,1.2,0.12,0.18,24.7,44.7,0.73,133.2,1.78,0.29,0.69,17.3,1.27,0.65,1.09,1.13,0.73
660,MF,0.15,1.32,0.11,0.03,30.4,51.3,0.26,117.5,0.38,0.12,1.21,14.2,3.5,1.62,1.44,1.44,4.12
661,MF,0.0,0.49,0.0,0.08,36.8,56.7,0.82,158.9,0.41,0.16,1.07,20.5,1.56,1.39,1.07,1.64,2.38
662,MF,0.07,0.6,0.13,0.11,38.9,56.2,0.52,174.1,0.22,0.26,1.27,20.4,1.01,2.61,1.83,1.72,1.12
663,MF,0.05,2.37,0.02,0.29,34.1,62.2,1.21,184.1,1.16,0.48,1.35,19.6,1.45,3.48,1.69,1.79,3.14
664,MF,0.08,1.76,0.05,0.08,25.8,49.1,1.85,195.5,1.85,0.17,0.59,16.9,0.59,1.51,1.01,1.51,0.08
665,MF,0.11,0.8,0.13,0.05,42.3,60.1,0.74,135.0,0.37,0.21,1.22,18.7,0.85,1.6,1.65,1.7,1.7
666,MF,0.0,0.14,0.0,0.0,41.3,59.6,0.28,162.3,0.14,0.0,1.13,17.5,2.68,2.11,1.97,1.97,0.56
667,MF,0.22,0.97,0.22,0.22,41.3,60.8,0.32,156.3,1.08,0.43,1.29,18.2,1.4,0.86,1.08,0.75,0.97
668,MF,0.0,0.46,0.0,0.0,19.3,42.3,0.15,78.7,1.22,0.0,1.89,21.7,1.68,1.12,1.94,2.91,2.76
669,MF,0.13,0.67,0.19,0.16,52.1,73.9,1.28,295.6,1.47,0.38,1.21,20.9,0.45,0.67,1.25,1.76,0.58
670,MF,0.11,1.37,0.08,0.11,27.6,48.3,1.05,142.3,1.19,0.21,0.88,16.4,0.98,1.12,1.82,1.4,0.88
671,MF,0.21,1.82,0.12,0.13,46.7,65.0,1.14,276.6,0.72,0.42,0.97,13.6,0.42,0.93,1.1,1.27,0.34
672,MF,0.0,0.76,0.0,0.0,44.1,67.3,0.32,183.9,0.13,0.0,2.68,20.8,2.29,2.29,2.29,2.23,2.42
673,MF,0.14,0.68,0.0,0.07,57.7,78.9,0.58,218.7,0.99,0.07,1.3,17.0,1.47,1.88,1.61,0.79,1.23
674,MF,0.09,1.72,0.05,0.06,55.3,75.9,1.05,278.3,0.74,0.34,2.06,18.3,1.35,3.51,1.08,1.66,2.65
675,MF,0.0,0.51,0.0,0.0,37.2,52.1,0.0,126.9,0.51,0.0,0.77,12.3,1.79,2.05,1.79,1.03,1.03
676,MF,0.0,1.05,0.0,0.0,21.8,43.8,1.45,178.7,0.39,0.13,0.66,21.8,3.16,2.24,2.89,1.18,1.18
677,MF,0.3,1.81,0.17,0.15,38.4,64.1,1.36,176.2,2.11,0.38,1.58,29.9,0.6,1.81,2.45,1.47,0.68
678,MF,0.09,0.8,0.12,0.03,22.5,41.4,0.21,75.4,0.06,0.06,0.89,19.0,1.71,1.01,1.77,2.66,5.87
679,MF,0.19,1.09,0.17,0.09,46.9,65.3,1.33,300.7,0.43,0.43,1.23,15.2,0.71,2.13,1.85,1.66,0.85
680,MF,0.21,1.95,0.07,0.14,49.2,71.4,0.62,153.6,0.82,0.41,1.68,16.7,1.44,1.4,1.61,1.82,1.03
681,MF,0.04,1.03,0.04,0.09,22.7,46.0,1.75,162.8,0.94,0.13,1.12,21.1,1.17,1.52,1.97,1.75,0.49
682,MF,0.0,2.11,0.0,0.0,36.8,54.2,0.53,130.5,0.26,0.0,0.0,9.74,1.84,1.05,1.32,1.05,2.11
683,MF,0.26,2.31,0.11,0.13,62.7,81.3,0.13,265.8,0.77,0.51,1.28,21.0,1.54,1.03,1.03,2.18,2.31
684,MF,0.17,1.31,0.13,0.07,41.8,60.4,1.21,214.2,1.25,0.17,1.28,19.9,0.66,1.97,1.35,1.87,0.55
685,MF,0.2,1.19,0.17,0.04,49.3,64.6,0.33,161.6,0.2,0.2,1.39,16.6,1.19,1.56,0.37,1.68,1.39
686,MF,0.03,1.16,0.03,0.0,32.5,54.2,0.53,132.2,0.2,0.0,1.72,16.3,2.64,2.44,1.85,2.15,5.02
687,MF,0.0,0.83,0.0,0.0,28.5,47.3,1.46,117.5,0.21,0.0,1.04,20.4,2.29,2.08,2.29,0.83,1.25
688,MF,0.09,1.1,0.08,0.0,24.9,47.0,0.73,164.0,0.37,0.0,1.47,22.4,2.8,1.88,2.06,1.61,2.25
689,MF,0.19,1.23,0.1,0.12,21.1,44.1,1.6,173.1,3.46,0.25,0.93,18.6,0.37,1.3,2.72,0.62,0.31
690,MF,0.05,1.15,0.05,0.05,32.4,50.4,1.41,197.6,0.05,0.1,2.08,29.2,0.94,1.61,1.82,3.07,0.99
691,MF,0.13,0.9,0.0,0.4,35.6,61.6,3.27,210.0,1.84,0.49,1.39,25.5,0.63,0.76,1.21,2.87,1.21
692,MF,0.0,0.81,0.0,0.0,23.0,40.8,0.54,125.7,0.81,0.0,0.54,20.8,1.08,0.54,1.35,2.43,1.08
693,MF,0.22,0.89,0.25,0.0,44.0,59.1,0.44,196.0,0.22,0.22,0.89,19.6,0.44,0.89,2.0,3.56,0.67
694,MF,0.0,0.08,0.0,0.0,50.6,68.7,1.02,236.4,0.08,0.0,1.86,21.5,1.86,3.05,2.12,2.03,0.59
695,MF,0.0,0.39,0.0,0.0,38.7,58.5,0.53,207.8,0.07,0.0,2.32,26.7,1.72,2.88,1.72,2.67,1.54
696,MF,0.0,1.76,0.0,0.05,51.1,67.2,1.27,338.3,1.23,0.2,1.03,14.9,0.78,2.01,1.18,1.08,0.78
697,MF,0.0,0.9,0.0,0.0,17.6,40.5,0.68,83.0,0.45,0.08,1.88,23.2,2.48,2.78,1.8,1.35,1.35
698,MF,0.0,0.63,0.0,0.0,44.7,65.6,0.63,177.5,0.58,0.04,1.61,19.9,1.43,1.79,1.61,2.5,1.61
699,MF,0.24,1.67,0.14,0.0,38.8,61.0,0.0,198.6,1.67,0.95,0.71,19.8,1.9,0.95,2.86,2.14,3.81
700,MF,0.0,1.14,0.0,0.2,49.0,69.9,0.27,235.4,2.08,0.4,0.87,13.8,1.34,1.34,1.48,1.21,2.21
701,MF,0.0,0.75,0.0,0.0,38.5,58.1,0.6,151.2,1.06,0.08,0.75,15.9,1.21,0.94,1.7,1.36,1.21
702,MF,0.16,1.05,0.11,0.31,46.9,62.5,0.35,233.2,1.24,0.43,1.32,16.0,1.01,1.05,0.62,0.81,0.5
703,MF,0.09,0.33,0.29,0.09,91.4,109.6,1.91,398.5,0.28,0.19,2.23,24.3,0.42,1.16,1.77,1.91,0.33
704,MF,0.13,0.93,0.14,0.0,37.2,58.5,0.46,157.9,0.79,0.07,0.86,18.6,2.72,1.85,1.92,2.85,2.78
705,MF,0.12,2.2,0.06,0.12,62.6,84.1,0.73,220.7,0.61,0.49,2.44,21.3,1.1,1.1,1.71,2.44,1.71
706,MF,0.0,0.18,0.0,0.0,45.3,60.9,0.55,191.3,0.0,0.18,1.64,18.0,1.45,1.45,1.82,2.18,1.45
707,MF,0.16,1.97,0.08,0.0,27.4,50.1,1.42,138.0,1.1,0.08,2.13,25.7,1.81,1.42,2.05,3.62,1.73
708,MF,0.03,1.42,0.02,0.0,41.3,61.2,0.91,221.8,0.27,0.09,2.0,17.8,1.18,2.61,1.45,1.67,0.82
709,MF,0.28,1.43,0.12,0.14,46.8,68.7,0.45,136.6,1.9,0.2,0.73,15.4,1.23,1.68,1.82,0.84,0.95
710,MF,0.06,1.59,0.04,0.06,30.6,47.0,0.57,117.8,1.08,0.06,1.25,13.7,1.19,0.91,1.25,2.1,1.53
711,MF,0.0,0.55,0.0,0.12,33.8,55.3,0.43,114.1,1.46,0.28,0.91,17.1,0.79,1.69,0.75,1.26,0.39
712,MF,0.05,1.2,0.05,0.16,37.1,49.5,0.65,151.9,0.05,0.38,0.65,11.6,0.43,0.6,1.09,0.43,0.71
713,MF,0.0,2.21,0.0,0.0,22.2,47.0,3.15,218.5,3.36,0.07,1.01,22.3,0.27,0.81,1.61,1.81,0.74
714,MF,0.09,1.5,0.06,0.0,19.4,37.3,1.73,156.7,0.58,0.18,1.95,23.7,0.71,1.33,1.68,1.81,0.84
715,MF,0.0,0.3,0.0,0.1,56.7,74.9,0.59,255.9,0.89,0.4,0.69,14.4,0.79,1.88,1.78,1.19,0.5
716,MF,0.17,1.22,0.14,0.0,38.6,60.8,0.78,168.3,0.56,0.17,1.89,22.4,2.22,1.94,1.5,1.89,1.22
717,MF,0.06,1.16,0.05,0.0,36.3,55.1,1.79,233.9,0.46,0.06,2.08,18.6,0.75,1.68,1.1,1.33,0.81
718,MF,0.15,1.52,0.1,0.15,20.9,37.4,0.3,134.1,0.61,0.15,0.91,20.0,0.76,2.12,1.82,1.97,1.06
719,MF,0.0,0.93,0.0,0.05,51.4,70.0,1.59,238.6,0.42,0.28,1.64,21.9,1.21,2.06,1.31,2.01,1.21
720,MF,0.08,1.31,0.0,0.0,30.1,48.5,0.46,160.2,1.15,0.15,0.69,16.8,0.62,1.38,1.62,1.85,0.62
721,MF,0.26,1.85,0.14,0.22,41.6,58.8,0.95,191.3,0.86,0.52,0.6,14.3,0.17,0.65,1.08,0.82,0.3
722,MF,0.07,0.73,0.1,0.03,43.2,59.9,0.42,192.6,0.1,0.03,1.08,13.7,2.26,1.74,1.35,1.6,2.64
723,MF,0.23,1.84,0.13,0.08,28.6,51.7,1.17,260.4,0.74,0.16,1.91,18.6,1.17,2.23,2.03,1.95,1.02
724,MF,0.23,1.72,0.13,0.13,43.9,60.5,0.74,219.3,0.84,0.39,0.81,18.6,0.39,0.71,0.58,1.04,0.55
725,DF,0.0,0.41,0.0,0.06,34.0,58.0,1.09,199.4,1.41,0.16,1.16,13.6,2.19,1.75,2.69,0.97,0.47
726,DF,0.06,0.54,0.11,0.0,38.7,57.3,0.48,204.7,0.06,0.03,1.39,13.6,3.2,3.11,1.87,1.3,2.02
727,DF,0.0,0.32,0.0,0.0,31.3,46.8,0.0,129.5,0.0,0.16,0.97,5.65,6.29,1.77,2.1,0.81,1.94
728,DF,0.14,0.57,0.25,0.0,64.3,80.2,0.11,284.8,0.04,0.07,0.43,5.85,4.08,1.7,1.7,0.71,2.84
729,DF,0.04,0.68,0.06,0.12,62.3,88.0,1.91,292.9,4.94,0.12,1.55,11.7,1.2,1.24,1.43,1.63,1.31
730,DF,0.0,0.28,0.0,0.06,31.3,54.2,0.78,102.2,2.17,0.11,1.28,12.8,2.44,1.39,1.83,1.67,1.89
731,DF,0.07,0.82,0.08,0.07,64.3,81.2,0.16,279.3,0.07,0.13,0.39,6.25,5.0,1.78,0.99,0.59,3.55
732,DF,0.0,0.42,0.0,0.08,60.4,84.3,0.5,232.9,2.18,0.13,2.14,17.5,2.94,2.48,1.64,1.34,1.64
733,DF,0.0,0.47,0.0,0.07,51.3,67.8,0.2,275.8,0.47,0.07,1.47,9.93,3.07,2.27,1.27,1.4,1.67
734,DF,0.0,0.2,0.0,0.0,43.1,62.0,0.27,240.8,0.07,0.07,1.4,10.9,4.44,1.88,1.67,0.38,2.63
735,DF,0.0,0.63,0.0,0.0,34.1,61.0,1.06,190.8,1.88,0.0,0.94,10.5,2.06,2.06,1.56,1.25,1.13
736,DF,0.05,0.64,0.08,0.1,37.1,63.1,2.17,182.5,2.76,0.3,2.12,19.8,1.58,1.87,1.67,0.99,0.99
737,DF,0.05,0.32,0.14,0.14,28.3,49.9,0.5,152.5,0.54,0.27,0.99,9.28,3.65,2.21,1.62,0.81,2.84
738,DF,0.04,0.56,0.07,0.0,71.8,87.6,0.28,355.1,0.08,0.0,1.43,9.8,2.91,1.87,1.51,0.92,2.55
739,DF,0.0,0.49,0.0,0.0,30.7,53.2,0.68,156.6,1.56,0.05,1.66,14.2,2.54,3.22,1.71,1.27,2.1
740,DF,0.19,0.49,0.4,0.0,75.7,90.9,0.0,345.6,0.0,0.0,0.49,6.8,3.01,1.75,1.17,0.78,3.98
741,DF,0.12,0.71,0.17,0.12,42.4,67.2,1.12,180.6,1.71,0.24,1.18,14.9,1.88,2.06,3.29,1.76,1.35
742,DF,0.07,0.71,0.1,0.1,61.4,73.8,0.17,331.9,1.09,0.27,0.61,7.59,2.28,1.39,1.26,0.61,0.78
743,DF,0.07,1.05,0.06,0.34,79.5,102.6,0.27,225.4,3.54,0.44,0.85,11.0,1.29,1.63,1.9,0.95,0.61
744,DF,0.0,0.22,0.0,0.0,48.8,64.9,0.18,268.6,0.0,0.07,0.55,6.13,5.22,1.35,1.39,0.73,1.93
745,DF,0.07,0.64,0.12,0.0,21.6,48.5,0.45,149.4,0.07,0.07,1.69,9.25,6.93,2.62,1.35,1.84,3.56
746,DF,0.06,1.61,0.04,0.38,63.5,94.9,0.82,190.7,4.01,0.54,0.76,9.09,1.36,2.4,1.23,0.5,0.57
747,DF,0.17,1.78,0.09,0.17,47.0,74.1,0.83,204.0,2.66,0.37,1.16,12.4,2.28,2.74,1.62,1.37,2.45
748,DF,0.06,1.1,0.06,0.0,34.5,61.7,0.37,148.8,0.92,0.0,1.72,10.2,4.6,2.7,1.6,2.52,2.76
749,DF,0.0,0.39,0.0,0.0,39.9,58.9,0.24,217.7,0.1,0.05,0.92,6.62,4.98,2.61,1.35,1.21,3.38
750,DF,0.08,0.41,0.2,0.25,75.3,96.4,1.15,287.8,3.03,0.33,1.56,13.8,0.57,1.97,1.48,2.38,0.66
751,DF,0.0,0.08,0.0,0.0,57.3,72.1,0.25,218.9,0.0,0.04,0.51,7.29,4.66,1.27,2.03,0.72,1.91
752,DF,0.0,0.0,0.0,0.0,58.3,81.3,1.74,234.1,1.52,0.22,1.09,11.3,1.74,2.83,2.83,0.43,2.17
753,DF,0.03,0.88,0.04,0.03,30.6,49.4,0.71,117.7,0.54,0.03,1.33,15.1,2.45,1.63,2.31,1.33,1.46
754,DF,0.0,0.25,0.0,0.09,56.0,77.4,0.19,276.6,0.43,0.15,0.71,4.85,4.81,1.85,1.27,0.59,2.59
