,Pos,Goals,Shots,G/Sh,Assists,PasCmp,Touches,DriPast,CarTotDist,Crs,GCA,TklWon,Press,Clr,Int,Blocks,Fls,AerWon
322,MF,0.04,0.89,0.05,0.09,45.1,63.1,1.32,249.7,0.21,0.17,2.13,17.7,2.17,2.34,1.83,1.45,0.89
323,MF,0.1,1.2,0.08,0.1,34.9,60.0,1.0,161.0,1.0,0.3,1.6,22.2,0.6,1.5,2.25,1.15,0.5
324,MF,0.0,0.38,0.0,0.13,30.8,51.0,1.28,173.7,0.9,0.13,1.03,19.0,2.18,2.44,2.31,2.05,1.03
325,MF,0.16,1.79,0.09,0.16,40.1,58.1,1.27,246.3,0.71,0.52,0.75,14.7,0.36,1.19,0.75,1.35,0.6
326,MF,0.17,0.89,0.19,0.11,28.0,49.5,1.17,180.7,2.33,0.28,1.17,21.1,0.89,1.72,1.67,1.72,0.89
327,MF,0.04,0.67,0.06,0.07,25.8,43.7,0.64,118.7,0.94,0.22,1.27,19.4,1.05,1.09,1.35,2.21,2.13
328,MF,0.0,0.53,0.0,0.0,26.1,46.6,0.26,92.1,0.0,0.0,1.32,26.8,1.84,0.79,1.58,4.47,3.16
329,MF,0.06,0.88,0.07,0.09,27.4,46.4,0.52,94.3,0.76,0.12,1.25,16.5,1.49,2.41,1.55,1.49,1.71
330,MF,0.06,0.98,0.06,0.03,72.9,88.6,0.52,379.3,0.49,0.34,1.44,17.5,1.01,1.6,1.26,1.63,0.61
331,MF,0.05,0.65,0.07,0.05,34.5,53.7,0.18,157.1,0.6,0.18,1.8,23.8,1.66,1.71,2.81,1.66,1.66
332,MF,0.06,0.39,0.14,0.0,69.4,87.6,0.51,198.5,0.11,0.08,2.03,17.9,1.46,1.63,1.63,1.94,2.25
333,MF,0.0,0.14,0.0,0.0,31.9,41.9,0.14,105.5,0.29,0.14,0.29,13.5,1.3,1.45,1.01,1.01,1.01
334,MF,0.14,1.37,0.1,0.14,30.7,48.9,1.37,136.2,0.27,0.27,1.64,19.3,1.51,1.64,1.78,1.23,1.51
335,MF,0.5,2.0,0.13,0.0,18.5,42.8,2.0,151.5,0.5,0.0,1.75,23.5,1.0,1.25,2.5,1.0,0.5
336,MF,0.25,2.28,0.06,0.43,54.1,75.8,0.62,250.4,1.92,0.65,1.01,14.2,0.29,1.12,1.41,1.49,0.36
337,MF,0.15,0.91,0.17,0.08,57.4,76.9,1.59,279.4,0.3,0.23,2.42,26.1,1.21,1.36,2.12,3.18,2.27
338,MF,0.13,0.76,0.17,0.13,45.2,65.2,1.08,243.9,1.58,0.19,0.95,18.1,0.82,1.71,0.95,1.46,1.33
339,MF,0.04,0.55,0.07,0.04,46.4,63.0,1.22,245.3,0.16,0.12,1.34,13.5,2.4,1.46,0.91,1.93,2.44
340,MF,0.0,0.58,0.0,0.0,51.9,72.0,1.51,211.2,0.39,0.15,2.2,25.4,0.93,2.36,1.97,1.81,0.42
341,MF,0.1,1.64,0.06,0.15,57.9,77.4,1.94,253.1,0.35,0.35,1.69,14.4,1.49,1.14,1.14,1.69,1.74
342,MF,0.04,1.44,0.02,0.11,60.1,83.3,0.49,187.5,0.35,0.39,2.25,15.6,2.95,2.07,2.28,2.35,3.93
343,MF,0.22,1.24,0.18,0.0,40.0,61.3,1.24,194.5,0.79,0.34,1.24,14.7,0.79,1.24,2.58,1.8,0.45
344,MF,0.06,1.03,0.06,0.06,26.5,46.7,1.16,219.6,1.61,0.19,0.9,16.5,0.26,1.61,1.29,1.42,0.45
345,MF,0.05,0.63,0.08,0.11,62.7,79.9,0.58,201.7,0.84,0.11,0.89,16.1,0.84,1.63,1.16,0.95,0.26
346,MF,0.2,1.15,0.17,0.15,28.8,52.3,0.7,165.4,1.9,0.35,2.3,22.2,0.8,2.0,2.7,1.2,0.9
347,MF,0.0,1.75,0.0,0.16,17.1,41.1,1.11,117.6,2.86,0.48,0.79,17.6,1.9,2.06,1.75,2.54,0.63
348,MF,0.1,0.72,0.14,0.03,49.9,65.5,0.27,168.9,0.24,0.14,0.92,17.8,0.34,1.47,0.92,0.89,0.44
349,MF,0.03,0.58,0.05,0.03,34.1,48.7,0.4,118.7,0.46,0.12,1.01,12.4,1.87,2.58,1.01,1.17,0.77
350,MF,0.0,0.44,0.0,0.0,33.0,53.6,0.26,128.6,0.0,0.04,1.23,17.9,2.68,3.55,3.03,1.36,2.19
351,MF,0.2,2.3,0.09,0.2,23.2,47.0,4.26,249.0,2.3,0.47,0.47,10.8,0.34,0.95,0.41,0.88,0.68
352,MF,0.16,1.64,0.1,0.08,36.6,57.6,0.74,170.7,0.0,0.08,1.56,16.2,3.11,2.7,2.13,1.64,3.03
353,MF,0.0,0.72,0.0,0.11,25.6,43.4,0.22,74.3,1.06,0.17,1.5,20.7,1.06,1.5,1.56,2.06,1.0
354,MF,0.03,1.14,0.03,0.07,41.6,61.9,1.31,182.7,0.37,0.17,2.15,26.6,1.31,1.74,2.05,2.48,2.18
355,MF,0.22,0.54,0.4,0.11,46.1,65.8,1.63,208.2,0.22,0.11,1.52,17.2,1.2,1.74,1.52,2.39,1.85
